yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_wthn_5_yrs_pc, age_of_persons_born_overseas_census_5_9_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_ttl_ppltn_agd_15_yrs_nm, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_indqtly_dscrb_std_pc, age_of_persons_born_overseas_census_10_14_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_nl_pc, population_of_persons_born_overseas_census_males_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_1000_1999_pr_wk_pc, lbr_frce_stts_prsns_brn_ovrss_cnss_prtcptn_rte_pc, age_of_persons_born_overseas_census_35_39_years_num, age_of_persons_born_overseas_census_45_49_years_num, occupation_of_persons_born_overseas_census_managers_pc, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_10_yrs_ago_pc, rlgs_affltn_prsns_brn_ovrss_cnss_sprtl_blfs_pc, age_of_persons_born_overseas_census_80_84_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_unmplymnt_rte_pc, age_of_persons_born_overseas_census_25_29_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_chrstnty_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_bchlr_dgre_pc, englsh_prfcncy_prsns_brn_ovrss_cnss_prfcnt_pc, age_of_persons_born_overseas_census_40_44_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_grdte_dplma_crtfe_pc, occupation_of_persons_born_overseas_census_labourers_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_schl_edctn_pc, occptn_prsns_brn_ovrss_cnss_mchnry_oprtrs_drvrs_pc, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_1_499_pr_wk_pc, age_of_persons_born_overseas_census_75_79_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_pstgrde_dgre_pc, age_of_persons_born_overseas_census_85_years_and_over_num, age_of_persons_born_overseas_census_60_64_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ngtve_pc, religious_affiliation_persons_born_overseas_census_judaism_pc, occptn_prsns_brn_ovrss_cnss_tchncns_trds_wrkrs_pc, ctznshp_st_prsn_brn_ovrs_cns_astrln_ctzn_pc, occupation_of_persons_born_overseas_census_professionals_pc, religious_affiliation_of_persons_born_overseas_census_islam_pc, age_of_persons_born_overseas_census_65_69_years_num, sa3_name_2016, year_arrival_of_persons_born_overseas_census_arrival_stated_pc, religious_affiliation_persons_born_overseas_census_buddhism_pc, citizenship_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_30_34_years_num, religious_affiliation_persons_born_overseas_census_religion_pc, labour_force_status_persons_born_overseas_census_employed_num, religious_affiliation_persons_born_overseas_census_hinduism_pc, age_of_persons_born_overseas_census_15_19_years_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_2000_2999_pr_wk_pc, english_proficiency_persons_born_overseas_census_proficient_pc, age_of_persons_born_overseas_census_70_74_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_rlgn_sclr_blfs_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_edctn_sttd_pc, occptn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc, age_of_persons_born_overseas_census_55_59_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_3000_pr_wk_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_crtfcte_pc, occptn_prsns_brn_ovrss_cnss_clrcl_admnstrtve_wrkrs_pc, labour_force_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_0_4_years_num, age_of_persons_born_overseas_census_50_54_years_num, age_of_persons_born_overseas_census_20_24_years_num, occptn_prsns_brn_ovrss_cnss_cmmnty_prsnl_srvce_wrkrs_pc, population_of_persons_born_overseas_census_females_num, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_5_10_yrs_ago_pc, labour_force_status_persons_born_overseas_census_num, english_proficiency_persons_born_overseas_census_stated_pc, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_advnc_dplma_pc, occupation_of_persons_born_overseas_census_sales_workers_pc, population_of_persons_born_overseas_census_persons_num, yr, labour_force_status_persons_born_overseas_census_unemployed_num, labour_force_status_persons_born_overseas_census_pc, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_500_999_pr_wk_pc, ctznshp_stts_prsns_brn_ovrss_cnss_astrln_ctzn_pc, sa3_code_2016, rlgs_affltn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc
13.8,222,9260,2.8,236,8.0,4897,26.8,64.7,788,846,16.0,67.9,0.2,290,4.9,645,55.3,18.3,5.7,725,2.5,10.2,31.9,4.4,25.3,431,10.7,252,787,0.5,0.2,11.2,29.6,22.5,4.9,748,"Queanbeyan",3.1,2.8,1.6,880,3.9,5694,5.7,237,7.8,93.5,563,23.2,3.8,2.2,846,4.1,12.8,14.1,0.8,107,911,316,11.9,4927,15.2,5987,0.9,10.4,7.5,9823,2016,293,34.5,24.8,68.8,"10102",3.4
8.0,29,2422,6.4,29,5.8,1245,17.1,51.4,113,195,19.3,76.9,0.4,139,3.8,140,51.9,14.6,3.7,149,1.6,14.5,32.0,4.0,37.0,173,4.6,93,216,0.8,0.3,12.4,31.0,17.8,2.1,315,"Snowy Mountains",8.2,3.8,4.1,107,0.6,1199,0.6,42,3.8,92.5,218,33.8,10.1,2.1,222,2.2,18.9,8.8,1.9,9,215,83,12.8,1236,6.8,1246,3.7,10.2,7.8,2487,2016,47,46.8,27.3,64.9,"10103",6.0
4.2,74,8629,4.8,92,5.0,4272,14.3,36.3,296,449,14.4,87.0,0.3,533,5.8,125,56.4,14.0,1.6,317,2.4,10.8,34.3,3.8,44.4,857,4.4,477,1088,0.5,0.3,14.9,24.1,23.7,0.4,1432,"South Coast",4.2,2.1,1.7,209,0.6,2949,0.8,86,2.1,97.8,1154,34.1,8.1,1.7,823,1.5,18.8,9.9,2.1,34,714,66,13.2,4568,4.7,3131,0.6,10.9,7.4,8832,2016,182,61.6,27.4,74.2,"10104",4.6
12.1,66,3108,8.3,73,8.4,1696,18.1,51.0,195,211,15.0,66.9,0.3,116,6.3,199,57.6,14.0,5.0,229,1.6,13.1,32.7,4.4,34.7,194,5.4,98,269,0.7,0.2,12.7,35.5,21.2,2.3,356,"Goulburn - Mulwaree",8.3,3.4,5.3,252,1.8,1485,2.9,62,3.7,90.4,260,23.5,10.6,2.0,290,2.3,15.0,9.4,2.4,30,272,114,14.7,1583,12.8,1584,4.7,11.0,7.7,3279,2016,99,46.5,23.8,59.3,"10105",8.0
7.7,49,2797,3.4,53,6.5,1363,22.5,57.3,170,224,20.8,78.7,0.2,79,3.5,107,57.8,17.7,2.8,210,2.6,10.6,31.5,2.4,31.5,163,8.1,74,285,0.4,0.2,12.0,26.4,23.2,3.6,364,"Young - Yass",4.2,2.3,1.0,153,1.1,1546,1.2,74,7.6,96.5,258,29.4,6.2,1.6,285,4.4,14.8,13.6,1.7,21,275,73,10.6,1562,9.3,1602,0.8,10.9,5.1,2922,2016,56,40.8,23.6,72.5,"10106",4.2
8.6,561,27262,3.5,722,8.9,13776,22.4,56.2,2022,2458,14.5,76.2,0.3,1116,5.8,1071,57.5,17.6,3.4,2266,1.7,8.3,32.7,3.6,31.1,1692,6.0,1194,2373,0.4,0.4,12.9,31.3,27.7,1.1,2720,"Gosford",3.4,3.3,2.0,1546,0.7,14422,1.8,740,5.7,96.0,2236,30.4,5.6,1.6,2506,3.5,15.7,13.0,1.2,196,2666,663,10.8,14968,11.9,15314,0.7,11.3,7.4,28743,2016,892,42.7,24.5,66.7,"10201",4.2
6.6,275,18486,4.1,346,7.6,9116,18.2,49.0,1117,1548,12.3,81.3,0.2,933,6.9,643,66.1,11.0,3.4,1210,1.0,11.7,40.5,6.9,38.7,1506,3.1,777,1710,0.5,0.2,15.3,32.3,19.3,1.4,2029,"Wyong",3.8,2.9,2.0,937,0.8,8443,1.6,340,3.3,95.9,1833,23.0,8.0,1.8,1786,1.8,18.9,12.5,2.0,95,1694,425,12.4,10089,8.3,9065,0.7,9.5,7.8,19201,2016,622,49.0,25.8,65.7,"10202",3.6
12.1,71,3821,7.6,111,9.0,2091,20.8,54.1,286,335,13.9,68.5,0.1,134,6.4,224,52.9,16.6,3.6,309,2.1,11.1,31.1,6.3,30.9,200,7.3,109,305,0.4,0.1,12.5,37.1,24.7,2.9,409,"Bathurst",7.7,3.4,6.2,256,1.8,1935,3.9,151,4.1,91.4,285,25.9,8.8,1.7,309,2.6,15.0,8.9,1.0,32,322,183,14.0,1948,11.9,2067,5.2,10.0,7.1,4037,2016,132,44.9,25.0,56.7,"10301",8.2
13.5,56,2641,4.8,73,8.5,1308,16.1,51.0,151,202,17.0,70.5,0.2,107,5.8,133,67.0,14.3,4.1,174,1.1,12.8,40.1,5.6,40.8,175,4.5,102,248,0.9,null,13.8,37.1,22.1,1.1,302,"Lachlan Valley",4.8,2.9,1.7,196,1.1,1269,2.9,71,3.1,94.7,249,21.1,7.2,2.3,221,2.9,13.7,10.9,1.9,27,246,70,8.4,1488,11.5,1347,1.1,9.3,5.9,2793,2016,78,47.3,22.9,61.3,"10302",3.4
6.5,36,3742,7.1,62,7.2,1913,14.3,44.7,206,266,15.1,77.5,0.4,191,7.5,149,61.1,12.3,3.3,238,1.4,13.6,37.1,8.1,43.9,271,3.3,141,378,0.3,0.1,14.9,32.7,18.5,0.9,442,"Lithgow - Mudgee",8.1,3.0,5.0,177,1.2,1548,1.9,48,3.2,92.2,419,23.8,10.7,2.1,368,2.2,17.9,10.3,1.7,15,378,74,10.7,1931,7.8,1673,4.5,9.8,7.0,3848,2016,125,53.4,21.9,62.2,"10303",7.3
