othr_rel_aust_abor_trad_rel_m, christianity_orintal_orthdx_p, othr_rel_aust_abor_trad_rel_p, christianity_orintal_orthdx_m, islam_m, sb_osb_nra_tot_f, islam_p, christianity_orintal_orthdx_f, islam_f, othr_rel_sikhism_f, othr_rel_aust_abor_trad_rel_f, othr_rel_sikhism_p, othr_rel_sikhism_m, sb_osb_nra_tot_p, sb_osb_nra_tot_m, other_religions_tot_p, other_religions_tot_m, other_religions_tot_f, christianity_uniting_church_f, tot_f, tot_m, tot_p, christianity_christian_nfd_p, christianity_eastrn_orthdox_m, christianity_eastrn_orthdox_p, christianity_salvation_army_p, othr_reln_other_reln_groups_f, christianity_christian_nfd_m, christianity_eastrn_orthdox_f, christianity_salvation_army_m, christianity_salvation_army_f, christianity_christian_nfd_f, christianity_othr_protestnt_p, othr_reln_other_reln_groups_m, christianity_othr_christian_f, othr_reln_other_reln_groups_p, christianity_church_christ_p, christianity_church_christ_m, christianity_othr_protestnt_m, christianity_othr_protestnt_f, christianity_church_christ_f, christianity_lutheran_p, christianity_lattr_day_snts_m, christianity_baptist_p, christianity_lattr_day_snts_f, christianity_baptist_m, christianity_baptist_f, christianity_pentecostal_f, christianity_othr_christian_m, christianity_tot_p, christianity_lattr_day_snts_p, christianity_othr_christian_p, christianity_catholic_f, christianity_lutheran_f, christianity_lutheran_m, christianity_asyrin_apstlic_p, christianity_anglican_f, sb_osb_nra_sb_m, christnty_sevnth_dy_advntst_f, sb_osb_nra_sb_p, sa3_code16, christianity_brethren_f, christianity_brethren_p, christianity_catholic_m, hinduism_m, christianity_catholic_p, hinduism_p, christianity_brethren_m, christianity_tot_m, hinduism_f, christnty_sevnth_dy_advntst_p, christianity_tot_f, christnty_sevnth_dy_advntst_m, sb_osb_nra_sb_f, christianity_anglican_m, christianity_anglican_p, religious_affiliation_ns_f, buddhism_f, christinty_prsbytrin_refrmd_f, christinty_jehvahs_witnses_f, buddhism_m, buddhism_p, christinty_jehvahs_witnses_m, christinty_jehvahs_witnses_p, judaism_f, sb_osb_nra_nr_f, christianity_uniting_church_m, christianity_uniting_church_p, judaism_p, christinty_prsbytrin_refrmd_p, judaism_m, christinty_prsbytrin_refrmd_m, christianity_asyrin_apstlic_f, sb_osb_nra_nr_p, christianity_asyrin_apstlic_m, sb_osb_nra_nr_m, sb_osb_nra_osb_f, christianity_pentecostal_m, religious_affiliation_ns_p, sb_osb_nra_osb_m, christianity_pentecostal_p, religious_affiliation_ns_m, sa3_name16, sb_osb_nra_osb_p
7,24,16,17,342,7733,640,9,303,198,12,431,230,16767,9033,620,303,321,827,28501,28828,57331,1350,758,1456,116,113,663,698,51,58,687,210,71,23,177,27,13,103,107,15,326,56,466,31,229,233,242,19,32380,88,42,7928,176,147,0,5002,108,39,189,"10102",74,161,7463,360,15389,679,85,15536,323,75,16845,35,80,4422,9425,2697,266,624,72,218,482,57,129,18,7599,660,1487,39,1184,22,564,0,16478,0,8879,54,195,5725,43,442,3031,"Queanbeyan",93
3,5,8,4,40,2690,65,3,31,3,3,6,0,5863,3170,73,28,45,287,9354,10013,19366,300,73,137,47,36,132,68,20,19,168,26,25,5,63,7,3,16,14,3,146,3,337,11,182,154,47,3,10792,14,7,2258,74,71,0,2026,38,16,71,"10103",0,0,2298,8,4557,14,0,5332,9,32,5459,10,36,1917,3947,1006,110,266,48,70,184,25,66,8,2630,258,542,14,519,11,257,0,5756,0,3128,27,50,2361,13,96,1355,"Snowy Mountains",36
15,10,33,9,41,11247,70,7,33,10,23,19,10,23700,12456,308,123,186,1442,36029,34606,70638,1285,158,296,190,155,583,133,92,101,701,176,99,35,253,30,12,81,97,21,287,51,708,57,339,365,177,32,38371,104,63,7214,164,127,0,8423,128,102,227,"10104",3,3,6742,65,13960,126,0,17905,59,173,20461,71,96,7238,15657,3591,422,1141,280,243,665,187,465,35,11046,1046,2494,54,2145,22,1000,0,23292,0,12246,104,145,7348,77,324,3764,"South Coast",183
0,15,0,7,60,3386,112,4,56,25,0,49,25,7293,3907,133,67,67,780,17572,17989,35559,502,121,212,100,48,250,93,40,56,251,60,41,16,86,8,0,31,29,3,84,21,381,35,181,201,71,17,23810,52,38,5288,44,38,0,4851,49,53,99,"10105",61,127,5000,66,10289,117,64,11512,57,98,12300,39,45,4450,9308,1556,143,394,50,102,243,30,86,5,3310,732,1509,13,817,7,423,0,7151,0,3836,34,56,3828,21,127,2274,"Goulburn - Mulwaree",52
0,0,3,0,161,3805,329,0,170,4,3,13,10,7972,4162,124,67,58,864,18257,17678,35942,625,60,137,112,46,306,74,49,64,322,74,56,16,104,4,0,35,38,4,172,4,389,3,190,198,71,7,24162,6,25,5602,96,77,0,4545,41,36,76,"10106",53,109,5284,27,10887,41,51,11603,17,73,12560,37,31,4156,8697,1539,94,527,44,56,153,34,79,14,3744,757,1620,24,1005,8,482,0,7855,0,4110,32,77,3135,12,148,1601,"Young - Yass",41
20,124,32,67,299,23396,579,57,276,61,13,136,77,49840,26452,596,258,336,3331,87173,81880,169053,4052,598,1193,388,263,1871,596,163,227,2182,1913,167,120,431,325,136,914,999,182,480,159,2932,192,1378,1555,1092,105,101092,343,222,21191,266,214,11,19193,301,446,545,"10201",108,197,18649,359,39839,710,84,46568,350,834,54522,392,246,16080,35270,6985,1171,2425,354,758,1926,266,624,144,22924,2542,5879,247,4516,103,2088,5,48926,3,25998,222,858,14067,145,1953,7083,"Gosford",365
28,79,49,46,247,19614,459,35,207,48,17,108,58,42239,22626,597,269,329,2603,81803,76884,158683,2990,478,952,507,263,1394,476,218,289,1597,1167,180,74,441,105,45,550,619,61,276,207,2692,210,1221,1471,828,66,100688,424,137,21886,152,127,13,20815,215,309,350,"10202",23,44,19278,219,41160,447,22,46602,228,578,54087,267,135,17726,38543,6537,740,2231,421,517,1254,308,731,58,19328,2031,4631,110,4146,48,1916,8,41643,9,22313,155,694,12893,94,1518,6355,"Wyong",246
6,14,18,8,109,4851,194,7,82,33,10,67,35,10517,5663,200,97,100,945,23152,23445,46594,714,95,179,114,55,339,86,53,60,380,157,49,14,106,44,16,75,74,28,112,33,565,32,263,300,154,12,29699,67,24,7575,59,54,0,4750,64,63,112,"10301",81,166,6958,107,14532,207,92,14071,95,112,15631,49,48,4126,8871,2185,192,961,61,140,331,69,134,8,4778,811,1753,14,1856,6,892,0,10347,0,5572,35,134,5436,25,285,3253,"Bathurst",54
16,36,23,14,34,4083,59,17,24,14,7,25,17,8973,4894,122,58,66,1713,27879,27462,55336,1172,45,99,194,46,535,55,76,117,633,145,28,16,72,6,3,69,76,7,258,40,834,38,407,427,284,18,40005,78,28,8067,140,123,0,7314,23,46,48,"10302",196,385,7702,55,15769,105,186,19338,49,82,20672,37,23,6794,14108,2883,101,1417,124,103,204,86,206,3,4042,1591,3302,5,2759,7,1344,0,8892,0,4849,15,252,5863,16,541,2980,"Lachlan Valley",30
0,15,4,7,32,4741,73,3,35,20,3,35,16,10475,5740,151,58,92,1164,23085,23530,46612,720,78,141,133,75,330,65,63,72,394,142,43,9,113,12,6,70,71,4,77,31,551,37,273,286,184,9,29517,66,23,5864,45,26,0,5868,50,46,77,"10303",72,146,5571,58,11439,100,77,14236,42,77,15289,36,28,5548,11416,2708,175,967,132,110,285,86,212,10,4677,998,2162,18,1846,7,876,0,10338,0,5666,29,157,5996,25,341,3289,"Lithgow - Mudgee",58
