,zone,rate_overseas,avg_study_yrs,ratio_christian,ratio_islam,ratio_hindu,ratio_no_religon,MEDIAN_AGE_PERSONS,MEDIAN_TOT_FAM_INC_WEEKLY
0,Bri Center,0.2911033320178708,10.968289117973487,0.5011863523198425,0.016392124764312965,0.02058698861394098,0.32915064969232793,33.986486486486484,2265.2702702702704
1,Bri North,0.22528212829864835,10.761669132471196,0.556730315382965,0.007395408710577129,0.017363226775370093,0.30425659729671745,36.43589743589744,2188.5128205128203
2,Bri South,0.3343366322211609,10.542413195356412,0.5151685346047077,0.03251500746521602,0.018207843939168994,0.29186333472459935,33.04651162790697,1651.6744186046512
3,Bri West,0.2893472968595997,10.552667249855368,0.5208094619491588,0.021112461646159042,0.017382430893431177,0.30063490626164546,32.8780487804878,1844.5121951219512
4,Mel Center,0.3601915833063088,11.089508066482605,0.37394193943961357,0.024851211772290008,0.025113798540805327,0.39594539770735493,33.333333333333336,2301.4545454545455
5,Mel East,0.37152854386068496,10.840911807144627,0.45244140048414716,0.014349358665601834,0.03178549195211563,0.335649450129427,38.743589743589745,2120.74358974359
6,Mel North,0.367634587631585,10.550912931448979,0.39584716866549174,0.049932981763736034,0.027741897961861144,0.3619701603162774,34.1578947368421,1923.421052631579
7,Mel SouthEast,0.4132565398745891,10.558602171022683,0.431051628408055,0.036985166155631057,0.036989309687577694,0.28928068285406483,37.21621621621622,1937.6486486486488
8,Mel West,0.3809541378713703,10.16011581385555,0.5002468168262918,0.052891319172323946,0.0429524890331905,0.23615154044233647,35.666666666666664,1659.3333333333333
9,Syd Center,0.41023203665789215,11.082654720131824,0.3718533684313152,0.014126937701082188,0.014699717266257191,0.4000828702349615,34.6,2682.866666666667
10,Syd East,0.38026635408042536,11.128179744415618,0.43005882851201843,0.013686577645165433,0.011141349640279907,0.3410086371075936,35.5625,2437.65625
11,Syd North,0.407082254633071,11.14118069579079,0.49574500807423166,0.013356658891480617,0.025594032758311333,0.32591913806508943,38.5,3100.8571428571427
12,Syd Parramatta,0.4703723437475604,10.123679831766706,0.49828739051009413,0.09266827486064921,0.07298448795415867,0.167824019860415,33.525,1413.225
13,Syd South,0.37598277104943445,10.29139990507768,0.5261117860663782,0.10024096277316039,0.023948061630776764,0.21703379991331628,38.06818181818182,1865.5454545454545
14,Syd West,0.4450974568355524,10.364368970399394,0.43955633385433956,0.12645936621809956,0.03835241972225843,0.2390289662439035,33.689655172413794,1756.7241379310344
