sa2_name16, median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, sa2_main16, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
"Braidwood",1084,49,1582,250,0.8,"101021007",1432,2.3,595
"Karabar",1689,37,1927,300,0.8,"101021008",2007,2.6,810
"Cooma Region",1251,46,1560,160,0.8,"101031015",1525,2.4,654
"Jindabyne - Berridale",1627,38,1508,320,0.8,"101031016",1765,2.4,973
"Batemans Bay",917,51,1467,265,0.7,"101041017",1137,2.2,506
"Batemans Bay - South",1006,53,1517,280,0.7,"101041018",1199,2.2,522
"Bega - Tathra",1062,45,1400,270,0.8,"101041019",1345,2.3,589
"Bega-Eden Hinterland",979,50,1276,200,0.8,"101041020",1208,2.4,491
"Broulee - Tomakin",1072,53,1517,270,0.7,"101041021",1366,2.2,593
"Deua - Wadbilliga",849,64,0,0,0.5,"101041022",1374,1.4,575
"Eden",844,50,1394,230,0.7,"101041023",1134,2.2,489
"Eurobodalla Hinterland",1022,51,1300,180,0.8,"101041024",1234,2.4,522
"Merimbula - Tura Beach",1018,54,1500,270,0.7,"101041025",1273,2.1,564
"Moruya - Tuross Head",915,53,1350,250,0.7,"101041026",1174,2.2,501
"Narooma - Bermagui",859,58,1300,230,0.7,"101041027",1123,2.1,492
"Mudgee",1306,37,1764,300,0.8,"103031072",1632,2.5,653
"Mudgee Region - East",771,50,1183,190,0.7,"103031073",1066,2.2,452
"Mudgee Region - West",1068,45,1517,200,0.8,"103031074",1331,2.4,509
"Wollangambe - Wollemi",0,0,0,0,0.0,"103031075",0,0.0,0
"Woonona - Bulli - Russell Vale",1607,40,2167,320,0.8,"107041150",2042,2.6,689
"Armidale Region - North",1076,43,1180,200,0.8,"110011187",1312,2.5,578
"Armidale Region - South",1127,45,1408,195,0.8,"110011188",1415,2.4,581
"Walcha",1047,48,1078,141,0.7,"110011189",1330,2.3,583
"Glen Innes",841,47,1083,200,0.7,"110021190",1111,2.2,481
"Inverell",970,41,1294,230,0.8,"110021191",1228,2.4,549
"Inverell Region - East",854,45,953,130,0.8,"110021192",1013,2.5,435
"Inverell Region - West",892,48,1028,140,0.8,"110021193",1153,2.3,484
"Tenterfield",770,53,1083,180,0.7,"110021194",1015,2.1,457
"Seaford (SA)",1229,36,1552,310,0.8,"403041087",1449,2.5,603
"Kulin",1229,42,754,105,0.7,"509031247",1562,2.3,811
"Queanbeyan",1398,37,1733,280,0.9,"101021009",1844,2.1,841
"Queanbeyan - East",1433,35,1842,270,0.9,"101021010",2001,2.2,892
"Queanbeyan Region",2460,40,2400,380,0.8,"101021011",2672,2.9,1068
"Gosford - Springfield",1188,40,1733,330,0.8,"102011032",1576,2.2,647
"Blayney",1227,42,1500,220,0.8,"103041076",1581,2.5,622
"Orange",1074,40,1464,250,0.7,"103041077",1400,2.2,597
"Orange - North",1579,33,1733,320,0.8,"103041078",1871,2.7,723
"Orange Region",1481,41,1647,200,0.8,"103041079",1816,2.7,694
"Grafton",922,43,1300,250,0.8,"104011080",1182,2.3,497
"Grafton Region",952,49,1300,240,0.8,"104011081",1139,2.5,463
"Maclean - Yamba - Iluka",890,56,1430,290,0.7,"104011082",1076,2.2,473
"Bellingen",1051,44,1408,300,0.8,"104021083",1238,2.5,526
"Coffs Harbour - North",1045,43,1603,300,0.8,"104021084",1305,2.4,564
"Coffs Harbour - South",1008,45,1517,300,0.8,"104021085",1317,2.2,564
"Coramba - Nana Glen - Bucca",1291,43,1582,300,0.9,"104021086",1435,2.8,585
"Queanbeyan West - Jerrabomberra",2472,35,2167,370,0.8,"101021012",2789,2.9,1109
"Bombala",1061,48,917,150,0.7,"101031013",1397,2.2,591
"Cooma",1013,44,1186,220,0.7,"101031014",1413,2.2,603
"Goulburn",1164,40,1517,260,0.7,"101051539",1485,2.4,644
"Goulburn Region",1205,47,1600,200,0.8,"101051540",1505,2.5,601
"Yass",1466,41,1763,300,0.8,"101061541",1853,2.5,728
"Yass Region",2050,42,2005,250,0.8,"101061542",2341,2.8,916
"Young",970,40,1300,225,0.7,"101061543",1234,2.4,541
"Young Region",967,48,1026,160,0.7,"101061544",1290,2.3,543
"Avoca Beach - Copacabana",1864,40,2167,430,0.8,"102011028",2118,2.8,758
"Box Head - MacMasters Beach",1415,47,2000,380,0.8,"102011029",1731,2.6,641
"Calga - Kulnura",1431,46,1850,250,0.8,"102011030",1751,2.6,674
"Erina - Green Point",1272,48,2000,360,0.7,"102011031",1797,2.5,607
"Kariong",1809,34,1950,400,0.8,"102011033",1929,3.0,698
"Kincumber - Picketts Valley",1099,46,1898,340,0.8,"102011034",1482,2.4,573
"Narara",1556,38,1733,360,0.8,"102011035",1734,2.8,661
"Wamberal - Forresters Beach",1848,40,2167,420,0.8,"102011041",2059,2.8,757
"Woy Woy - Blackwall",1037,47,1733,340,0.8,"102011042",1401,2.2,529
"Dorrigo",818,51,1083,200,0.8,"104021087",1112,2.2,477
"Korora - Emerald Beach",1455,44,1733,380,0.8,"104021088",1627,2.7,669
"Sawtell - Boambee",1088,44,1600,309,0.8,"104021089",1325,2.5,556
"Urunga",993,53,1517,280,0.8,"104021090",1229,2.2,516
"Woolgoolga - Arrawarra",1052,46,1550,310,0.8,"104021091",1279,2.5,522
"Bourke - Brewarrina",1096,40,900,100,0.8,"105011092",1329,2.5,619
"Cobar",1461,37,1300,160,0.7,"105011093",1922,2.4,733
"Coonamble",1008,44,867,150,0.7,"105011094",1264,2.4,542
"Nyngan - Warren",1102,42,1000,150,0.7,"105011095",1485,2.3,655
"Walgett - Lightning Ridge",822,46,758,140,0.9,"105011096",1031,2.3,468
"Berkeley - Lake Heights - Cringila",1048,38,1620,280,0.9,"107011545",1271,2.6,470
"Port Kembla - Warrawong",873,42,1625,240,0.9,"107011546",1122,2.4,446
"Deniliquin Region",1019,49,997,110,0.7,"109031183",1274,2.3,548
"Moama",1168,46,1560,275,0.7,"109031184",1427,2.3,615
"Tocumwal - Finley - Jerilderie",986,47,1083,170,0.7,"109031185",1270,2.2,545
"Armidale",1198,33,1452,260,0.8,"110011186",1526,2.4,549
"Chifley",1843,37,2000,361,0.8,"801091099",2386,2.3,976
"Niagara Park - Lisarow",1661,39,1800,370,0.8,"102011036",1898,2.9,664
"Point Clare - Koolewong",1408,44,1820,375,0.8,"102011037",1767,2.5,645
"Saratoga - Davistown",1402,42,2000,388,0.8,"102011038",1741,2.6,658
"Terrigal - North Avoca",1760,41,2167,450,0.8,"102011039",2041,2.6,762
"Umina - Booker Bay - Patonga",1071,46,1746,350,0.8,"102011040",1365,2.3,550
"Wyoming",1228,41,1733,350,0.8,"102011043",1538,2.5,578
"Bateau Bay - Killarney Vale",1245,41,1733,350,0.8,"102021044",1529,2.6,583
"Blue Haven - San Remo",1246,33,1600,355,0.8,"102021045",1348,2.9,547
"Budgewoi - Buff Point - Halekulani",1005,45,1560,310,0.8,"102021046",1266,2.3,516
"Chittaway Bay - Tumbi Umbi",1465,40,1757,370,0.8,"102021047",1722,2.7,656
"Gorokan - Kanwal - Charmhaven",1051,42,1517,315,0.8,"102021048",1320,2.5,518
